service_id,Group_store,Item,Price,URL_Image
4761131599689251118,BA LÁ TRÀ,TRÀ SỮA BẠC HÀ,40000,http://product.hstatic.net/1000360860/product/bacha_0977b3c4fef04f8d8e909ce579fb1c12_master.jpg
4761131599689251118,BA LÁ TRÀ,Yakult Chanh Leo,42000,http://product.hstatic.net/1000360860/product/yakult-cday_ff8300d49a714625aa63d1125d50ab0d_master.png
4761131599689251118,BA LÁ TRÀ,Yakult Trà Xanh,42000,http://product.hstatic.net/1000360860/product/yakult-tx_5e6fbdf13dab48f2b5c34fa9fcf6b034_master.png
4761131599689251118,BA LÁ TRÀ,Yakult Xoài,42000,http://product.hstatic.net/1000360860/product/yakult-xoai_1277bdb10d6e4c0db0c89645147a3ade_master.png
5453033308428757696,BIDI COFFEE,Hồng Trà Royal Kem Cheese,47000,http://royaltea.com.vn/wp-content/uploads/2017/05/20-600x450.jpg
5453033308428757696,BIDI COFFEE,Trà Earl Grey Kem Cheese,47000,http://royaltea.com.vn/wp-content/uploads/2017/05/18-600x450.jpg
5453033308428757696,BIDI COFFEE,Trà Ô Long Royal Kem Cheese,53000,http://royaltea.com.vn/wp-content/uploads/2017/04/jj-600x450.jpg
5453033308428757696,BIDI COFFEE,Trà Sữa Khoai Môn Tươi,48000,http://royaltea.com.vn/wp-content/uploads/2017/12/ts-khoai-m%C3%B4n-1-600x600.jpg
5453033308428757696,BIDI COFFEE,Trà Sữa Kem Cheese,45000,http://royaltea.com.vn/wp-content/uploads/2017/05/13-600x450.jpg
5453033308428757696,BIDI COFFEE,Trà Sữa Trân Châu Cake Cream,53000,http://royaltea.com.vn/wp-content/uploads/2017/05/30-600x450.jpg
5453033308428757696,BIDI COFFEE,Trà Sữa Double Oreo,43000,http://royaltea.com.vn/wp-content/uploads/2017/05/41-600x450.jpg
5453033308428757696,BIDI COFFEE,Trà Đen Chanh Leo Nước Ổi,43000,http://royaltea.com.vn/wp-content/uploads/2017/05/8-600x450.jpg
5453033308428757696,BIDI COFFEE,Trà Xanh Chanh Leo Kim Quất Mật Ong,43000,http://royaltea.com.vn/wp-content/uploads/2017/05/Post-2-600x600.gif
5453033308428757696,BIDI COFFEE,Trà Xanh Kiwi Newzealand,53000,http://royaltea.com.vn/wp-content/uploads/2018/07/kiwi1.jpg
5915606340191407689,BLUE INFINITY,Dâu tằm kem phô mai,48000,http://product.hstatic.net/1000360860/product/dautamkpm_9ed711a06bbe445caaa539c10c8521a8_master.jpg
5915606340191407689,BLUE INFINITY,SỮA TƯƠI CHÂN TRÂU ĐƯỜNG HỔ,48000,http://product.hstatic.net/1000360860/product/duongho_39b347d233284894acb95ae7f99a0af3_master.jpg
5915606340191407689,BLUE INFINITY,Cacao SOCOLA,45000,http://product.hstatic.net/1000360860/product/socola_911914e9f6674e39ab583a3024e0cd8c_master.jpg
5915606340191407689,BLUE INFINITY,HỒNG TRÀ KEM PHOMAI,45000,http://product.hstatic.net/1000360860/product/hongtrakpm_37b2bf93523342a08b2184bb71a7fc78_master.jpg
5915606340191407689,BLUE INFINITY,TRÀ NHẬT ĐẬU ĐỎ,49000,http://product.hstatic.net/1000360860/product/tsnhat_4c62a0a891b94700bedeeeeb5f6b8ab6_master.png
5915606340191407689,BLUE INFINITY,TRÀ SỮA PANDA,46000,http://product.hstatic.net/1000360860/product/panda_6dbae72a6f8e40deb8af33ecad39e515_master.jpg
5915606340191407689,BLUE INFINITY,TRÀ SỮA BẠC HÀ,40000,http://product.hstatic.net/1000360860/product/bacha_0977b3c4fef04f8d8e909ce579fb1c12_master.jpg
5915606340191407689,BLUE INFINITY,Yakult Chanh Leo,42000,http://product.hstatic.net/1000360860/product/yakult-cday_ff8300d49a714625aa63d1125d50ab0d_master.png
5915606340191407689,BLUE INFINITY,Yakult Trà Xanh,42000,http://product.hstatic.net/1000360860/product/yakult-tx_5e6fbdf13dab48f2b5c34fa9fcf6b034_master.png
5915606340191407689,BLUE INFINITY,Yakult Xoài,42000,http://product.hstatic.net/1000360860/product/yakult-xoai_1277bdb10d6e4c0db0c89645147a3ade_master.png
5654538597012118714,Bobapop,Strawberry Earl Grey Latte,60000,https://gongcha.com.vn/wp-content/uploads/2018/08/Strawberry-Earl-grey-latte.png
5654538597012118714,Bobapop,Caramel Coffee Smoothie,58000,https://gongcha.com.vn/wp-content/uploads/2019/07/Ca-phe-da-xay-popcorn.png
5654538597012118714,Bobapop,Trà Phổ Nhĩ Mật Ong Latte,59000,https://gongcha.com.vn/wp-content/uploads/2019/10/LATTE-TRA-BO-LUY-1400x1400.png
5654538597012118714,Bobapop,Caramel Oolong Smoothie,58000,https://gongcha.com.vn/wp-content/uploads/2019/07/Oolong-da-xay-popcorn.png
5654538597012118714,Bobapop,Trà Sữa Đông Phương Mỹ Nhân Trân Châu Trắng,66000,https://gongcha.com.vn/wp-content/uploads/2019/04/TS-Dong-Phuong-My-Nhan-tc-1.png
5654538597012118714,Bobapop,Trà Bích Loa Xuân,53000,https://gongcha.com.vn/wp-content/uploads/2019/04/Bich-Loa-Xuan.png
5654538597012118714,Bobapop,Matcha Strawberry Cream,58000,https://gongcha.com.vn/wp-content/uploads/2019/03/Matcha-Milk-Tea-with-Strawberry-Milkfoam.png
5654538597012118714,Bobapop,Caramel Coffee Latte,59000,https://gongcha.com.vn/wp-content/uploads/2019/07/Ca-phe-popcorn-latte.png
5654538597012118714,Bobapop,Mango Matcha Latte,57000,https://gongcha.com.vn/wp-content/uploads/2018/06/Mango-Matcha-Latte.png
5654538597012118714,Bobapop,Trà Xanh Gong Cha,51000,https://gongcha.com.vn/wp-content/uploads/2018/02/Tr%C3%A0-Xanh-Milkfoam-2.png
7583220493983739980,CAFE 63,Dâu tằm kem phô mai,48000,http://product.hstatic.net/1000360860/product/dautamkpm_9ed711a06bbe445caaa539c10c8521a8_master.jpg
7583220493983739980,CAFE 63,SỮA TƯƠI CHÂN TRÂU ĐƯỜNG HỔ,48000,http://product.hstatic.net/1000360860/product/duongho_39b347d233284894acb95ae7f99a0af3_master.jpg
7583220493983739980,CAFE 63,Cacao SOCOLA,45000,http://product.hstatic.net/1000360860/product/socola_911914e9f6674e39ab583a3024e0cd8c_master.jpg
7583220493983739980,CAFE 63,HỒNG TRÀ KEM PHOMAI,45000,http://product.hstatic.net/1000360860/product/hongtrakpm_37b2bf93523342a08b2184bb71a7fc78_master.jpg
7583220493983739980,CAFE 63,TRÀ NHẬT ĐẬU ĐỎ,49000,http://product.hstatic.net/1000360860/product/tsnhat_4c62a0a891b94700bedeeeeb5f6b8ab6_master.png
7583220493983739980,CAFE 63,TRÀ SỮA PANDA,46000,http://product.hstatic.net/1000360860/product/panda_6dbae72a6f8e40deb8af33ecad39e515_master.jpg
7583220493983739980,CAFE 63,TRÀ SỮA BẠC HÀ,40000,http://product.hstatic.net/1000360860/product/bacha_0977b3c4fef04f8d8e909ce579fb1c12_master.jpg
7583220493983739980,CAFE 63,Yakult Chanh Leo,42000,http://product.hstatic.net/1000360860/product/yakult-cday_ff8300d49a714625aa63d1125d50ab0d_master.png
7583220493983739980,CAFE 63,Yakult Trà Xanh,42000,http://product.hstatic.net/1000360860/product/yakult-tx_5e6fbdf13dab48f2b5c34fa9fcf6b034_master.png
7583220493983739980,CAFE 63,Yakult Xoài,42000,http://product.hstatic.net/1000360860/product/yakult-xoai_1277bdb10d6e4c0db0c89645147a3ade_master.png
1091190812284273157,CAFE BABA,Cherry Macchiato,55000,https://product.hstatic.net/1000075078/product/cherry_mac_6a3403fdb832464da88de8c6e6ddf662_master.jpg
1091190812284273157,CAFE BABA,Lemon Macchiato,55000,https://product.hstatic.net/1000075078/product/xoai_mac_c4534cc7607f4d58addf470a162e8359_master.jpg
1091190812284273157,CAFE BABA,Cold Brew Milk Macchiato,50000,https://product.hstatic.net/1000075078/product/coldbrewmacchiato_af7dc44ed71b4856bfe48a756ed939e6_master.jpg
1091190812284273157,CAFE BABA,Phuc Bon Tu Cam Da Xay,59000,https://product.hstatic.net/1000075078/product/daxay_raspberry_01685c63649740678352a348f8b281a1_master.png
1091190812284273157,CAFE BABA,Cold Brew Phuc Bon Tu,50000,https://product.hstatic.net/1000075078/product/coldbrew_raspberry_ac577fc483484f0cb4e35efe6bf14426_master.png
1091190812284273157,CAFE BABA,Caramel Macchiato,55000,https://product.hstatic.net/1000075078/product/caramel_macchiato_b6f694f469794e12b04a91845f5fce2d_master.jpg
1091190812284273157,CAFE BABA,Tra Dao Cam Sa,45000,https://product.hstatic.net/1000075078/product/tra_dao_cam_sa_on_bg_master.jpg
1091190812284273157,CAFE BABA,Ca Phe Den,29000,https://product.hstatic.net/1000075078/product/vnese_coffee_master.jpg
1091190812284273157,CAFE BABA,Cappucino,45000,https://product.hstatic.net/1000075078/product/cappuccino_master.jpg
1091190812284273157,CAFE BABA,Latte Matcha,59000,https://product.hstatic.net/1000075078/product/matcha_latte_master.jpg
6246455540529687045,CAFE BÙI,Strawberry Earl Grey Latte,60000,https://gongcha.com.vn/wp-content/uploads/2018/08/Strawberry-Earl-grey-latte.png
6246455540529687045,CAFE BÙI,Caramel Coffee Smoothie,58000,https://gongcha.com.vn/wp-content/uploads/2019/07/Ca-phe-da-xay-popcorn.png
6246455540529687045,CAFE BÙI,Trà Phổ Nhĩ Mật Ong Latte,59000,https://gongcha.com.vn/wp-content/uploads/2019/10/LATTE-TRA-BO-LUY-1400x1400.png
6246455540529687045,CAFE BÙI,Caramel Oolong Smoothie,58000,https://gongcha.com.vn/wp-content/uploads/2019/07/Oolong-da-xay-popcorn.png
6246455540529687045,CAFE BÙI,Trà Sữa Đông Phương Mỹ Nhân Trân Châu Trắng,66000,https://gongcha.com.vn/wp-content/uploads/2019/04/TS-Dong-Phuong-My-Nhan-tc-1.png
6246455540529687045,CAFE BÙI,Trà Bích Loa Xuân,53000,https://gongcha.com.vn/wp-content/uploads/2019/04/Bich-Loa-Xuan.png
6246455540529687045,CAFE BÙI,Matcha Strawberry Cream,58000,https://gongcha.com.vn/wp-content/uploads/2019/03/Matcha-Milk-Tea-with-Strawberry-Milkfoam.png
6246455540529687045,CAFE BÙI,Caramel Coffee Latte,59000,https://gongcha.com.vn/wp-content/uploads/2019/07/Ca-phe-popcorn-latte.png
6246455540529687045,CAFE BÙI,Mango Matcha Latte,57000,https://gongcha.com.vn/wp-content/uploads/2018/06/Mango-Matcha-Latte.png
6246455540529687045,CAFE BÙI,Trà Xanh Gong Cha,51000,https://gongcha.com.vn/wp-content/uploads/2018/02/Tr%C3%A0-Xanh-Milkfoam-2.png
8679358109832507197,CAFE HÀO NAM,Cherry Macchiato,55000,https://product.hstatic.net/1000075078/product/cherry_mac_6a3403fdb832464da88de8c6e6ddf662_master.jpg
8679358109832507197,CAFE HÀO NAM,Lemon Macchiato,55000,https://product.hstatic.net/1000075078/product/xoai_mac_c4534cc7607f4d58addf470a162e8359_master.jpg
8679358109832507197,CAFE HÀO NAM,Cold Brew Milk Macchiato,50000,https://product.hstatic.net/1000075078/product/coldbrewmacchiato_af7dc44ed71b4856bfe48a756ed939e6_master.jpg
8679358109832507197,CAFE HÀO NAM,Phuc Bon Tu Cam Da Xay,59000,https://product.hstatic.net/1000075078/product/daxay_raspberry_01685c63649740678352a348f8b281a1_master.png
8679358109832507197,CAFE HÀO NAM,Cold Brew Phuc Bon Tu,50000,https://product.hstatic.net/1000075078/product/coldbrew_raspberry_ac577fc483484f0cb4e35efe6bf14426_master.png
8679358109832507197,CAFE HÀO NAM,Caramel Macchiato,55000,https://product.hstatic.net/1000075078/product/caramel_macchiato_b6f694f469794e12b04a91845f5fce2d_master.jpg
8679358109832507197,CAFE HÀO NAM,Tra Dao Cam Sa,45000,https://product.hstatic.net/1000075078/product/tra_dao_cam_sa_on_bg_master.jpg
8679358109832507197,CAFE HÀO NAM,Ca Phe Den,29000,https://product.hstatic.net/1000075078/product/vnese_coffee_master.jpg
8679358109832507197,CAFE HÀO NAM,Cappucino,45000,https://product.hstatic.net/1000075078/product/cappuccino_master.jpg
8679358109832507197,CAFE HÀO NAM,Latte Matcha,59000,https://product.hstatic.net/1000075078/product/matcha_latte_master.jpg
1136811934461115501,CAFE LEO,Cappuccino MilkFoam Jelly Ice,50000,https://www.effoc.vn/uploads/images/product/94-0-Cappuccino%20Milkfoam%20Jelly.jpg
1136811934461115501,CAFE LEO,Frappe Ice Blend,45000,https://www.effoc.vn/uploads/images/product/27-0-Frappe.jpg
1136811934461115501,CAFE LEO,Mocha Cooler Ice Blend,45000,https://www.effoc.vn/uploads/images/product/30-0-Mocha%20Cooler.jpg
1136811934461115501,CAFE LEO,Salted Caramel Macchiato,45000,https://www.effoc.vn/uploads/images/product/107-0-Macchiato_S.jpg
1136811934461115501,CAFE LEO,Choco Caramel Cooler Ice Blended,50000,https://www.effoc.vn/uploads/images/product/36-0-choco%20caramel%20cooler.jpg
1136811934461115501,CAFE LEO,Choco Hazelnut Ice,45000,http://effoc.vn/uploads/images/product/10-0-Choco.jpg
1136811934461115501,CAFE LEO,Choco Matchafoam,50000,https://www.effoc.vn/uploads/images/product/109-0-Choco%20Matchafoam_S.jpg
1136811934461115501,CAFE LEO,Choco Strawberry Cooler Ice Blended,50000,https://www.effoc.vn/uploads/images/product/39-0-choco%20strawberry%20cooler.jpg
1136811934461115501,CAFE LEO,Blacktea Cheesefoam Pearl,45000,https://www.effoc.vn/uploads/images/product/112-0-blacktea%20cheesefoam%20pearl-.jpg
1136811934461115501,CAFE LEO,Tea Fruit Cheesefoam Pearl,50000,https://www.effoc.vn/uploads/images/product/113-0-teafruit%20cheesefoam%20pearl-.jpg
1296318385548951681,CAFE LINH,Cappuccino MilkFoam Jelly Ice,50000,https://www.effoc.vn/uploads/images/product/94-0-Cappuccino%20Milkfoam%20Jelly.jpg
1296318385548951681,CAFE LINH,Frappe Ice Blend,45000,https://www.effoc.vn/uploads/images/product/27-0-Frappe.jpg
1296318385548951681,CAFE LINH,Mocha Cooler Ice Blend,45000,https://www.effoc.vn/uploads/images/product/30-0-Mocha%20Cooler.jpg
1296318385548951681,CAFE LINH,Salted Caramel Macchiato,45000,https://www.effoc.vn/uploads/images/product/107-0-Macchiato_S.jpg
1296318385548951681,CAFE LINH,Choco Caramel Cooler Ice Blended,50000,https://www.effoc.vn/uploads/images/product/36-0-choco%20caramel%20cooler.jpg
1296318385548951681,CAFE LINH,Choco Hazelnut Ice,45000,http://effoc.vn/uploads/images/product/10-0-Choco.jpg
1296318385548951681,CAFE LINH,Choco Matchafoam,50000,https://www.effoc.vn/uploads/images/product/109-0-Choco%20Matchafoam_S.jpg
1296318385548951681,CAFE LINH,Choco Strawberry Cooler Ice Blended,50000,https://www.effoc.vn/uploads/images/product/39-0-choco%20strawberry%20cooler.jpg
1296318385548951681,CAFE LINH,Blacktea Cheesefoam Pearl,45000,https://www.effoc.vn/uploads/images/product/112-0-blacktea%20cheesefoam%20pearl-.jpg
1296318385548951681,CAFE LINH,Tea Fruit Cheesefoam Pearl,50000,https://www.effoc.vn/uploads/images/product/113-0-teafruit%20cheesefoam%20pearl-.jpg
3391042544567426272,CAFE MILANO,Strawberry Earl Grey Latte,60000,https://gongcha.com.vn/wp-content/uploads/2018/08/Strawberry-Earl-grey-latte.png
3391042544567426272,CAFE MILANO,Caramel Coffee Smoothie,58000,https://gongcha.com.vn/wp-content/uploads/2019/07/Ca-phe-da-xay-popcorn.png
3391042544567426272,CAFE MILANO,Trà Phổ Nhĩ Mật Ong Latte,59000,https://gongcha.com.vn/wp-content/uploads/2019/10/LATTE-TRA-BO-LUY-1400x1400.png
3391042544567426272,CAFE MILANO,Caramel Oolong Smoothie,58000,https://gongcha.com.vn/wp-content/uploads/2019/07/Oolong-da-xay-popcorn.png
3391042544567426272,CAFE MILANO,Trà Sữa Đông Phương Mỹ Nhân Trân Châu Trắng,66000,https://gongcha.com.vn/wp-content/uploads/2019/04/TS-Dong-Phuong-My-Nhan-tc-1.png
3391042544567426272,CAFE MILANO,Trà Bích Loa Xuân,53000,https://gongcha.com.vn/wp-content/uploads/2019/04/Bich-Loa-Xuan.png
3391042544567426272,CAFE MILANO,Matcha Strawberry Cream,58000,https://gongcha.com.vn/wp-content/uploads/2019/03/Matcha-Milk-Tea-with-Strawberry-Milkfoam.png
3391042544567426272,CAFE MILANO,Caramel Coffee Latte,59000,https://gongcha.com.vn/wp-content/uploads/2019/07/Ca-phe-popcorn-latte.png
3391042544567426272,CAFE MILANO,Mango Matcha Latte,57000,https://gongcha.com.vn/wp-content/uploads/2018/06/Mango-Matcha-Latte.png
3391042544567426272,CAFE MILANO,Trà Xanh Gong Cha,51000,https://gongcha.com.vn/wp-content/uploads/2018/02/Tr%C3%A0-Xanh-Milkfoam-2.png
5035507415958505338,CAFE Muối,Cappuccino MilkFoam Jelly Ice,50000,https://www.effoc.vn/uploads/images/product/94-0-Cappuccino%20Milkfoam%20Jelly.jpg
5035507415958505338,CAFE Muối,Frappe Ice Blend,45000,https://www.effoc.vn/uploads/images/product/27-0-Frappe.jpg
5035507415958505338,CAFE Muối,Mocha Cooler Ice Blend,45000,https://www.effoc.vn/uploads/images/product/30-0-Mocha%20Cooler.jpg
5035507415958505338,CAFE Muối,Salted Caramel Macchiato,45000,https://www.effoc.vn/uploads/images/product/107-0-Macchiato_S.jpg
5035507415958505338,CAFE Muối,Choco Caramel Cooler Ice Blended,50000,https://www.effoc.vn/uploads/images/product/36-0-choco%20caramel%20cooler.jpg
5035507415958505338,CAFE Muối,Choco Hazelnut Ice,45000,http://effoc.vn/uploads/images/product/10-0-Choco.jpg
5035507415958505338,CAFE Muối,Choco Matchafoam,50000,https://www.effoc.vn/uploads/images/product/109-0-Choco%20Matchafoam_S.jpg
5035507415958505338,CAFE Muối,Choco Strawberry Cooler Ice Blended,50000,https://www.effoc.vn/uploads/images/product/39-0-choco%20strawberry%20cooler.jpg
5035507415958505338,CAFE Muối,Blacktea Cheesefoam Pearl,45000,https://www.effoc.vn/uploads/images/product/112-0-blacktea%20cheesefoam%20pearl-.jpg
5035507415958505338,CAFE Muối,Tea Fruit Cheesefoam Pearl,50000,https://www.effoc.vn/uploads/images/product/113-0-teafruit%20cheesefoam%20pearl-.jpg
4503904905105350123,CAFÉ LÊ GIA,Strawberry Earl Grey Latte,60000,https://gongcha.com.vn/wp-content/uploads/2018/08/Strawberry-Earl-grey-latte.png
4503904905105350123,CAFÉ LÊ GIA,Caramel Coffee Smoothie,58000,https://gongcha.com.vn/wp-content/uploads/2019/07/Ca-phe-da-xay-popcorn.png
4503904905105350123,CAFÉ LÊ GIA,Trà Phổ Nhĩ Mật Ong Latte,59000,https://gongcha.com.vn/wp-content/uploads/2019/10/LATTE-TRA-BO-LUY-1400x1400.png
4503904905105350123,CAFÉ LÊ GIA,Caramel Oolong Smoothie,58000,https://gongcha.com.vn/wp-content/uploads/2019/07/Oolong-da-xay-popcorn.png
4503904905105350123,CAFÉ LÊ GIA,Trà Sữa Đông Phương Mỹ Nhân Trân Châu Trắng,66000,https://gongcha.com.vn/wp-content/uploads/2019/04/TS-Dong-Phuong-My-Nhan-tc-1.png
4503904905105350123,CAFÉ LÊ GIA,Trà Bích Loa Xuân,53000,https://gongcha.com.vn/wp-content/uploads/2019/04/Bich-Loa-Xuan.png
4503904905105350123,CAFÉ LÊ GIA,Matcha Strawberry Cream,58000,https://gongcha.com.vn/wp-content/uploads/2019/03/Matcha-Milk-Tea-with-Strawberry-Milkfoam.png
4503904905105350123,CAFÉ LÊ GIA,Caramel Coffee Latte,59000,https://gongcha.com.vn/wp-content/uploads/2019/07/Ca-phe-popcorn-latte.png
4503904905105350123,CAFÉ LÊ GIA,Mango Matcha Latte,57000,https://gongcha.com.vn/wp-content/uploads/2018/06/Mango-Matcha-Latte.png
4503904905105350123,CAFÉ LÊ GIA,Trà Xanh Gong Cha,51000,https://gongcha.com.vn/wp-content/uploads/2018/02/Tr%C3%A0-Xanh-Milkfoam-2.png
2924970720588960871,CHEW TEA,Cappuccino MilkFoam Jelly Ice,50000,https://www.effoc.vn/uploads/images/product/94-0-Cappuccino%20Milkfoam%20Jelly.jpg
2924970720588960871,CHEW TEA,Frappe Ice Blend,45000,https://www.effoc.vn/uploads/images/product/27-0-Frappe.jpg
